id	raw_category	category	count	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey
1	wall	wall	8277	1	12	wall	wall	Wall					n04546855	wall.n.01
2	chair	chair	4646	5	4	chair	chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01
22	books	book	1678	23	2	book	books	Books					n02870526	book.n.11
3	floor	floor	1553	2	5	floor	floor	Floor					n03365592	floor.n.01
5	door	door	1483	8	12	door	door	Wall	door				n03221720	door.n.01
1163	object	object	1313	40	7		otherprop	Objects						
16	window	window	1209	9	13	window	window	Window					n04587648	window.n.01
4	table	table	1170	7	10	table	table	Table	table	table	table	4379243	n04379243	table.n.02
56	trash can	trash can	1090	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01
13	pillow	pillow	937	18	7	pillow	pillow	Objects			pillow	3938244	n03938244	pillow.n.01
15	picture	picture	862	11	8	picture	picture	Picture					n03931044	picture.n.01
41	ceiling	ceiling	806	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01
26	box	box	775	29	7	box	box	Objects					n02883344	box.n.01
161	doorframe	doorframe	768	8	12	door	door	Wall	door					doorframe.n.01
19	monitor	monitor	765	40	7	monitor	otherprop	Objects	monitor	monitor	tv or monitor	3211117	n03782190	monitor.n.04
7	cabinet	cabinet	731	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
9	desk	desk	680	14	10	desk	desk	Table	desk	desk	table	4379243	n03179701	desk.n.01
8	shelf	shelf	641	15	6	shelves	shelves	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01
10	office chair	office chair	595	5	4	chair	chair	Chair	chair	chair	chair	3001627	n04373704	swivel_chair.n.01
31	towel	towel	570	27	7	towel	towel	Objects					n04459362	towel.n.01
6	couch	couch	502	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	4256520	n04256520	sofa.n.01
14	sink	sink	488	34	7	sink	sink	Objects	sink				n04223580	sink.n.01
48	backpack	backpack	479	40	7	backpack	otherprop	Objects					n02769748	backpack.n.01
28	lamp	lamp	419	35	7	lamp	lamp	Objects	lamp		lamp	3636649	n03636649	lamp.n.02
11	bed	bed	370	4	1	bed	bed	Bed	bed	bed	bed	2818832	n02818832	bed.n.01
18	bookshelf	bookshelf	360	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01
71	mirror	mirror	349	19	7	mirror	mirror	Objects					n03773035	mirror.n.01
21	curtain	curtain	347	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01
40	plant	plant	331	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02
52	whiteboard	whiteboard	327	30	7	whiteboard	whiteboard	Objects					n03211616	display_panel.n.01
96	radiator	radiator	322	39	6	radiator	otherfurniture	Furniture					n04041069	radiator.n.02
22	book	book	318	23	2	book	books	Books					n02870526	book.n.11
29	kitchen cabinet	kitchen cabinet	310	3	6	cabinet	cabinet	Furniture					n02933112	cabinet.n.01
49	toilet paper	toilet paper	291	40	7	toilet paper	otherprop	Objects					n15075141	toilet_tissue.n.01
29	kitchen cabinets	kitchen cabinet	289	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
23	armchair	armchair	281	5	4	chair	chair	Chair	chair	chair	chair	3001627	n02738535	armchair.n.01
63	shoes	shoe	272	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01
24	coffee table	coffee table	258	7	10	coffee table	table	Table	table	table	table	4379243	n03063968	coffee_table.n.01
17	toilet	toilet	256	33	7	toilet	toilet	Objects	toilet	toilet			n04446276	toilet.n.01
47	bag	bag	252	37	7	bag	bag	Objects			suitcase	2773838	n02773838	bag.n.06
32	clothes	clothes	248	21	7	clothes	clothes	Objects					n02728440	apparel.n.01
46	keyboard	keyboard	246	40	7	keyboard	otherprop	Objects	keyboard		computer keyboard	3085013	n03085013	computer_keyboard.n.01
65	bottle	bottle	226	40	7	bottle	otherprop	Objects	bottle		bottle	2876657	n02876657	bottle.n.01
97	recycling bin	recycling bin	225	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01
34	nightstand	nightstand	224	32	6	night stand	night stand	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01
38	stool	stool	221	40	7	stool	otherprop	Objects	stool				n04326896	stool.n.01
33	tv	tv	219	25	11	television	television	TV			tv or monitor	3211117	n03211117	display.n.06
75	file cabinet	file cabinet	217	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
36	dresser	dresser	213	17	6	dresser	dresser	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01
64	computer tower	computer tower	203	40	7	computer	otherprop	Objects					n03082979	computer.n.01
32	clothing	clothes	165	21	7	clothes	clothes	Objects					n02728440	apparel.n.01
101	telephone	telephone	164	40	7	telephone	otherprop	Objects			telephone	4401088	n04401088	telephone.n.01
130	cup	cup	157	40	7	cup	otherprop	Objects	cup		cup or mug	3797390	n03797390	mug.n.04
27	refrigerator	refrigerator	154	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01
44	end table	end table	147	7	10	table	table	Table	table	table	table	4379243	n04379243	table.n.02
131	jacket	jacket	146	40	7	jacket	otherprop	Objects					n03589791	jacket.n.01
55	shower curtain	shower curtain	144	28	7	shower curtain	shower curtain	Objects	curtain				n04209239	shower_curtain.n.01
42	bathtub	bathtub	144	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	2808440	n02808440	bathtub.n.01
